datestr,daten,DPCCRAM1M225NBEA
"2019-02-01",01feb2019,0
"2019-03-01",01mar2019,.8
"2019-04-01",01apr2019,.2
"2019-05-01",01may2019,.4
"2019-06-01",01jun2019,.2
"2019-07-01",01jul2019,.2
"2019-08-01",01aug2019,.2
"2019-09-01",01sep2019,.3
"2019-10-01",01oct2019,.1
"2019-11-01",01nov2019,.3
"2019-12-01",01dec2019,.2
"2020-01-01",01jan2020,.4
"2020-02-01",01feb2020,-.2
"2020-03-01",01mar2020,-8.6
"2020-04-01",01apr2020,-12.3
"2020-05-01",01may2020,8.7
